Query,Source,Papers,Citations,Years,Cites_Year,Cites_Paper,Cites_Author,Papers_Author,Authors_Paper,h_index,g_index,hc_index,hI_index,hI_norm,AWCR,AW_index,AWCRpA,e_index,hm_index,QueryDate,Cites_Author_Year,hI_annual,h_coverage,g_coverage,star_count,year_first,year_last,ECC,acc1,acc2,acc5,acc20,hA
Author1,Google Scholar,98,7448,17,438.11764705882354,76.0,1061.680368213607,13.969478529126405,7.015294078133961,27,35,27,16,22.22118835421719,332.34272119987276,33.234272119987274,47.37402559299047,26,8,2025-07-07,62.45178636550629,0.9411764705882353,69.14,51.21,2,2008,2025,48,0.21382772984143528,0.25116695123804955,0.5687572490373339,0.7007542183234985,8
Author2,Google Scholar,38,4856,17,285.6470588235294,127.78947368421052,1672.208570808838,13.085651913248732,2.903943972522028,35,39,35,21,18.047245146971918,377.62986693538534,37.76298669353854,130.0403418621813,32,14,2025-07-07,98.3652100475787,1.2352941176470589,84.25,57.37,5,2008,2025,61,0.726629700872718,0.5671687810833672,0.5346921058369354,0.08904612205444284,20
Author3,Google Scholar,70,6175,20,308.75,88.21428571428571,630.6300135252604,7.148842258585948,9.791795296074431,37,45,37,33,35.89200873148245,223.0180868267046,22.301808682670462,22.776016050510513,36,20,2025-07-07,31.531500676263022,1.65,57.44,65.03,1,2005,2025,1,0.07005859907431511,0.5802535074487437,0.27410765913190616,0.15463422733744636,34
Author4,Google Scholar,110,3506,13,269.6923076923077,31.87272727272727,1150.1557303226102,36.085889998712815,3.0482828608058083,44,48,44,29,35.789339587563056,394.7492315638819,39.474923156388186,129.49888497536958,54,41,2025-07-07,88.47351771712387,2.230769230769231,52.86,81.48,4,2012,2025,23,0.8536520849286513,0.1370207445124313,0.15681605618263772,0.9177211069918252,32
Author5,Google Scholar,48,5982,10,598.2,124.625,1580.7393004747673,12.683966302706258,3.7843052287011116,10,19,10,6,5.150325224030894,538.231689868149,53.823168986814906,142.22734619450517,12,4,2025-07-07,158.07393004747672,0.6,97.81,66.72,3,2015,2025,52,0.9310917437601935,0.421478105932233,0.8484363787830994,0.6620961044792991,7
Author6,Google Scholar,29,4266,20,213.3,147.10344827586206,976.5614423807422,6.638603335452771,4.368388730974257,27,37,27,22,23.551767476891605,108.85483349514818,10.885483349514818,24.918760714518857,29,16,2025-07-07,48.82807211903711,1.1,72.13,58.28,1,2005,2025,6,0.8242285097058705,0.5516425971625353,0.6243597567816127,0.20770126626938834,7
Author7,Google Scholar,26,3540,15,236.0,136.15384615384616,519.7996745570008,3.8177377227350346,6.81031592221939,16,17,16,7,9.523798292370818,170.4447841908961,17.044478419089607,25.027441624962155,20,10,2025-07-07,34.653311637133385,0.4666666666666667,85.5,94.05,0,2010,2025,22,0.10034897108795582,0.32500945538544834,0.7570419302008634,0.9507879940930105,15
Author8,Google Scholar,30,3590,7,512.8571428571429,119.66666666666667,446.1370634960889,3.728164876011885,8.046854417042784,19,24,19,17,20.661324180853548,596.2565057471446,59.62565057471446,74.09808539400278,22,16,2025-07-07,63.733866213726984,2.4285714285714284,79.96,99.47,5,2018,2025,52,0.08252541444477313,0.3898026121627173,0.6530476724541584,0.09775400065546136,15
Author9,Google Scholar,44,5938,9,659.7777777777778,134.95454545454547,811.3371398533347,6.011928958158762,7.318782425112957,20,20,20,9,10.430706667760628,801.9055670379424,80.19055670379424,109.56816591327565,24,11,2025-07-07,90.14857109481497,1.0,74.41,79.84,5,2016,2025,25,0.04682798555770695,0.7156790069683402,0.08043661942082869,0.18441909798739375,13
Author10,Google Scholar,50,6015,17,353.8235294117647,120.3,1992.507406844983,16.56282133703228,3.018809355155369,43,46,43,40,44.05117886658541,421.10577804013906,42.11057780401391,139.49399531341587,55,37,2025-07-07,117.20631804970489,2.3529411764705883,96.12,70.14,2,2008,2025,65,0.8696502837819371,0.9853255330841479,0.8862254920828964,0.45475467579492357,28
